Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.1,121715107,810,150265.6,5169.0,4409,97046494,3428754.7,cudaLaunchKernel
22.0,41180979,6,6863496.5,669811.5,124263,38432572,15468653.1,cuLibraryUnload
3.7,6956833,1,6956833.0,6956833.0,6956833,6956833,0.0,cudaProfilerStop
2.1,3964009,12,330334.1,7819.5,621,3723660,1069570.4,cudaFree
1.1,2112819,2,1056409.5,1056409.5,3947,2108872,1488406.7,cudaMallocHost
1.1,2102089,607,3463.1,3306.0,2545,31509,1744.7,cudaEventRecord
1.0,1949113,2,974556.5,974556.5,18955,1930158,1351424.6,cudaFreeHost
0.7,1246269,1,1246269.0,1246269.0,1246269,1246269,0.0,cudaLaunchHostFunc_v10000
0.6,1140979,207,5512.0,5380.0,191,41527,3460.8,cudaMemcpyAsync
0.5,990360,8,123795.0,7349.0,3136,878011,305651.4,cudaStreamCreate
0.4,739687,209,3539.2,5921.0,150,23885,3605.0,cudaMemsetAsync
0.3,522212,101,5170.4,4959.0,4468,9387,697.3,cuLaunchKernelEx
0.3,505157,101,5001.6,4769.0,4528,15439,1173.9,cuLaunchKernel
0.2,377749,9,41972.1,5170.0,2355,335397,110070.4,cudaMalloc
0.1,277008,2,138504.0,138504.0,27432,249576,157079.5,cuModuleUnload
0.1,249589,203,1229.5,1052.0,712,14066,1457.0,cudaStreamWaitEvent
0.1,247445,101,2450.0,2405.0,972,4789,435.9,cudaEventSynchronize
0.1,199523,1,199523.0,199523.0,199523,199523,0.0,cuModuleLoadData
0.1,124543,1,124543.0,124543.0,124543,124543,0.0,cuModuleLoadFatBinary
0.1,98951,202,489.9,461.0,411,2735,214.5,cudaStreamIsCapturing_v10000
0.1,93712,412,227.5,180.0,130,1282,124.0,cuGetProcAddress_v2
0.0,68288,8,8536.0,6437.0,3496,21490,6147.0,cudaStreamDestroy
0.0,51399,35,1468.5,671.0,501,6463,1562.9,cudaEventCreateWithFlags
0.0,45825,3,15275.0,10479.0,9838,25508,8867.8,cuMemcpyAsync
0.0,33054,35,944.4,882.0,381,3287,611.7,cudaEventDestroy
0.0,12443,3,4147.7,2825.0,2805,6813,2308.3,cuStreamCreate
0.0,10410,5,2082.0,1923.0,882,3998,1156.5,cudaStreamSynchronize
0.0,9068,3,3022.7,2565.0,2535,3968,818.8,cuStreamDestroy_v2
0.0,2646,3,882.0,761.0,642,1243,318.2,cuStreamSynchronize
0.0,2564,1,2564.0,2564.0,2564,2564,0.0,cudaProfilerStart
0.0,2505,1,2505.0,2505.0,2505,2505,0.0,cuInit
0.0,1963,2,981.5,981.5,711,1252,382.5,cuCtxSetCurrent
0.0,1664,1,1664.0,1664.0,1664,1664,0.0,cuEventDestroy_v2
0.0,1603,3,534.3,290.0,261,1052,448.5,cuModuleGetLoadingMode
0.0,1282,1,1282.0,1282.0,1282,1282,0.0,cuEventCreate
